"geo","state"
"Escullar","Aboda"
"Drzenin","Aboda"
"Yuanjiatan","Aboda"
"Badanewali","Aboda"
"Gyunashli","Aboda"
"Yaobabikro","Aboda"
"Massasse","Aboda"
"Raay","Aboda"
"Bandanba","Aboda"
"Kaharad","Aboda"
"Portillo","Aboda"
"Ciappi","Aboda"
"Weikert","Aboda"
"Nonyembezi","Aboda"
"Wendern","Aboda"
"Scafa","Aboda"
"Cera","Aboda"
"Correa","Aboda"
"Kiernan","Aboda"
"Camkalabak","Aboda"
"Tasajera","Aboda"
"Ancopado","Aboda"
"Vsadishche","Aboda"
"Jalawig","Aboda"
"Delphos","Aboda"
"Elva","Aboda"
"Selisteni","Aboda"
"Shachong","Aboda"
"Xinyuezhai","Aboda"
"Mbyet","Aboda"
"Znakva","Aboda"
"Pistala","Aboda"
"Bocas","Aboda"
"Rosaaen","Aboda"
"Uqbay","Aboda"
"Khulais","Aboda"
"Treshchevo","Aboda"
"Nautla","Aboda"
"Idakki","Aboda"
"Jaysagar","Aboda"
"Khwaza","Aboda"
"Fonsau","Aboda"
"Juari","Aboda"
"Looney","Aboda"
"Wasilla","Aboda"
"Doubare","Aboda"
"Wayne","Aboda"
"Kapinkong","Aboda"
"Umuorieke","Aboda"
"Gnienesso","Aboda"
"Corazal","Aboda"
"Ouesse","Aboda"
"Shinrock","Aboda"
"Pakapyay","Aboda"
"Hedi","Aboda"
"Nolo","Aboda"
"Tvarditsa","Aboda"
"Skulbru","Aboda"
"Mebaza","Aboda"
"Hengchun","Aboda"
"Puzili","Aboda"
"Yustepec","Aboda"
"Walton","Aboda"
"Kafutu","Aboda"
"Ninatie","Aboda"
"Linintian","Aboda"
"Sarche","Aboda"
"Ateso","Aboda"
"Hetouli","Aboda"
"Priaung","Aboda"
"Mudersah","Aboda"
"Datanghui","Aboda"
"Drekapou","Aboda"
"Nanyangjia","Aboda"
"Chaiso","Aboda"
"Mahe","Aboda"
"Pluzina","Aboda"
"Rwamabasa","Aboda"
"Neco","Aboda"
"Neita","Aboda"
"Bobachshof","Aboda"
"Yarimca","Aboda"
"Kamdarag","Aboda"
"Kancu","Aboda"
"Zakuri","Aboda"
"Sotio","Aboda"
"Xingtang","Aboda"
"Turok","Aboda"
"Yastrebets","Aboda"
"Semeytau","Aboda"
"Dombifold","Aboda"
"Kusuncuk","Aboda"
"Kupun","Aboda"
"Anisakan","Aboda"
"Govin","Aboda"
"KwaSanti","Aboda"
"Mirmiru","Aboda"
"Losoncz","Aboda"
"Shangyiu","Aboda"
"Santos","Aboda"
"Buderaz","Aboda"
"Kamchakay","Aboda"
"Milicici","Aboda"
"Janjal","Aboda"
"Windesheim","Aboda"
"Vlasovka","Aboda"
"Nazas","Aboda"
"Tiganji","Aboda"
"Pergama","Aboda"
"Montdidier","Aboda"
"Muharrem","Aboda"
"Wakaban","Aboda"
"Eyal","Aboda"
"Kompina","Aboda"
"Roong","Aboda"
"Posakan","Aboda"
"Sheqeza","Aboda"
"Chadbourne","Aboda"
"Lopavshe","Aboda"
"Segech","Aboda"
"Njamogan","Aboda"
"Esfestanj","Aboda"
"Valenzana","Aboda"
"Tighanab","Aboda"
"Qumbasi","Aboda"
"Ladygino","Aboda"
"Dovydova","Aboda"
"Corpanto","Aboda"
"Andarapane","Aboda"
"Abyadani","Aboda"
"Kaemusan","Aboda"
"Xiejiazhai","Aboda"
"Guandian","Aboda"
"Eboyomi","Aboda"
"Faidello","Aboda"
"Gezgez","Aboda"
"Pojawa","Aboda"
"Adabakpo","Aboda"
"Khast","Aboda"
"Kaikou","Aboda"
"Loma","Aboda"
"Bungegep","Aboda"
"Pansadare","Aboda"
"Oakgrove","Aboda"
"Lunguegi","Aboda"
"Junkrowy","Aboda"
"Yakpabe","Aboda"
"Mery","Aboda"
"Cheonju","Aboda"
"Ibare","Aboda"
"Miriheliya","Aboda"
"Nauhang","Aboda"
"Rilevo","Aboda"
"Potrusovo","Aboda"
"Kawmaka","Aboda"
"Piachi","Aboda"
"Sagsokhta","Aboda"
"Chunoy","Aboda"
"Coveville","Aboda"
"Nina","Aboda"
"Challata","Aboda"
"Noichi","Aboda"
"Xitangwei","Aboda"
"Blanchard","Aboda"
"Klikow","Aboda"
"Znojmo","Aboda"
"Papesciems","Aboda"
"Zilairskiy","Aboda"
"Biaso","Aboda"
"Bostel","Aboda"
"Bagharwala","Aboda"
"Maissate","Aboda"
"Wasiran","Aboda"
"Jeding","Aboda"
"Zeiyadiya","Aboda"
"Endarasha","Aboda"
"Lapithou","Aboda"
"Jum`ah","Aboda"
"Avaday","Aboda"
"Karimshai","Aboda"
"Kongolla","Aboda"
"Darawan","Aboda"
"Hedo","Aboda"
"Urumetenna","Aboda"
"Yessenniki","Aboda"
"Alum","Aboda"
"Muziris","Aboda"
"Cayuse","Aboda"
"Boisheim","Aboda"
"Kurvush","Aboda"
"Mocca","Aboda"
"Ogikubo","Aboda"
"Tobur","Aboda"
"Waibstadt","Aboda"
"Ounga","Aboda"
"Butembo","Aboda"
"Pakanbaroe","Aboda"
"Coquica","Aboda"
"Pambanda","Aboda"
"Bursulum","Aboda"
"Huaychulo","Aboda"
"Atwidie","Aboda"
"Qingzhuwan","Aboda"
"Arayshi","Aboda"
"Kela","Aboda"
"Pripechene","Aboda"
"Milpo","Aboda"
"Banayoyo","Aboda"
"Kunkurwo","Aboda"
"Neofmetan","Aboda"
"Branco","Aboda"
"Dolovi","Aboda"
"Kigobagobe","Aboda"
"Sahbajpur","Aboda"
"Bushale","Aboda"
"Chekhovo","Aboda"
"Patri","Aboda"
"Naraengi","Aboda"
"Potkraj","Aboda"
"Waldeck","Aboda"
"Goruli","Aboda"
"Nyonya","Aboda"
"Bangun","Aboda"
"Taghan","Aboda"
"Atiot","Aboda"
"Bustos","Aboda"
"Antubia","Aboda"
"Jajuani","Aboda"
"Rupahuasi","Aboda"
"Tinntare","Aboda"
"Trujillo","Aboda"
"Ugbine","Aboda"
"Mowar","Aboda"
"Vandob","Aboda"
"Gagivard","Aboda"
"Bizani","Aboda"
"Abline","Aboda"
"Kourchine","Aboda"
"Ngambon","Aboda"
"Simpensar","Aboda"
"Mambog","Aboda"
"Knike","Aboda"
"Dzhaba","Aboda"
"Ronuri","Aboda"
"Tuzinao","Aboda"
"Legardo","Aboda"
"Ivorona","Aboda"
"Iluya","Aboda"
"Bilaliye","Aboda"
"Dminin","Aboda"
"Liamo","Aboda"
"Andohorano","Aboda"
"Mazamorra","Aboda"
"Namola","Aboda"
"Cejagui","Aboda"
"Firmo","Aboda"
"Bonje","Aboda"
"Toktoyan","Aboda"
"Nancheng","Aboda"
"Vezendan","Aboda"
"Grabijola","Aboda"
"Collarmele","Aboda"
"Kitutu","Aboda"
"Anness","Aboda"
"Iguacito","Aboda"
"Pamanggolo","Aboda"
"Miyawada","Aboda"
"Phuttala","Aboda"
"Candakhel","Aboda"
"Sabbia","Aboda"
"Tadahadi","Aboda"
"Zhiguliao","Aboda"
"Nglijep","Aboda"
"Mashraj","Aboda"
"Siau","Aboda"
"Veiros","Aboda"
"Nagymaros","Aboda"
"Motheren","Aboda"
"Kargi","Aboda"
"Zhaocuo","Aboda"
"Sychem","Aboda"
"Zeppenfeld","Aboda"
"Qianjintan","Aboda"
"Buracica","Aboda"
"Bertlingen","Aboda"
"Ankijanibe","Aboda"
"Imayanan","Aboda"
"Alwii","Aboda"
"Lagarba","Aboda"
"Chennegy","Aboda"
"Kamilare","Aboda"
"Simratari","Aboda"
"Andebabe","Aboda"
"Berlan","Aboda"
"Caxanga","Aboda"
"Suisnes","Aboda"
"Rabaka","Aboda"
"Aney","Aboda"
"Asmordeh","Aboda"
"Windsfeld","Aboda"
"Dilbai","Aboda"
"Chauffard","Aboda"
"Karmanovy","Aboda"
"Mereg","Aboda"
"Seywonkehn","Aboda"
"Kawlum","Aboda"
"Juboli","Aboda"
"Duvarcam","Aboda"
"Tulla","Aboda"
"Rashkidah","Aboda"
"Tsingchwan","Aboda"
"Rutte","Aboda"
"Cersak","Aboda"
"Yaguaraco","Aboda"
"Nokleberg","Aboda"
"Apantem","Aboda"
"Monamuaco","Aboda"
"Waro","Aboda"
"Toplis","Aboda"
"Offwell","Aboda"
"Zeytoglu","Aboda"
"Hondella","Aboda"
"Miandica","Aboda"
"Damou","Aboda"
"Pauji","Aboda"
"Lambana","Aboda"
"Turkhel","Aboda"
"Mayorazo","Aboda"
"Ioub","Aboda"
"Bloknanas","Aboda"
"Chasan","Aboda"
"Monzon","Aboda"
"Truia","Aboda"
"Pakruojus","Aboda"
"Nungkulan","Aboda"
"Tori","Aboda"
"Kucik","Aboda"
"Dikkenberg","Aboda"
"Muaralasan","Aboda"
"Mambulan","Aboda"
"Xitlama","Aboda"
"Pyasechno","Aboda"
"Jalatgama","Aboda"
"Krutoye","Aboda"
"Vahowa","Aboda"
"Makarovka","Aboda"
"Vinne","Aboda"
"Esser","Aboda"
"Manyali","Aboda"
"Toba","Aboda"
"Kamesnica","Aboda"
"Pujue","Aboda"
"Yermakovka","Aboda"
"Reventon","Aboda"
"Ahoe","Aboda"
"Gavzaleh","Aboda"
"Pelevichi","Aboda"
"Petrovo","Aboda"
"Niguas","Aboda"
"Derrimut","Aboda"
"Ashku","Aboda"
"Badransari","Aboda"
"Ruwaysat","Aboda"
"Bibi","Aboda"
"Brzhezinya","Aboda"
"Chigali","Aboda"
